date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:34	9042/9042	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2020:51:44%20GMT	https://octarine.cc/login	C:/Mis%20lugares%20Web/lol/octarine.cc/login.html	(from )
15:51:35	88/88	---MCZ	200	added ('OK')	text/plain	date:Thu,%2015%20Apr%202021%2020:51:45%20GMT	https://octarine.cc/robots.txt		(from )
15:51:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:45%20GMT	http://octarine.cc/assets/wasm/shared.wasm	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/wasm/shared.1.delayed	(from https://octarine.cc/login)
15:51:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:45%20GMT	http://octarine.cc/favicon.ico	C:/Mis%20lugares%20Web/lol/octarine.cc/favicon.ico	(from https://octarine.cc/login)
15:51:36	644391/644391	---MCZ	200	added ('OK')	application/wasm	date:Thu,%2015%20Apr%202021%2020:51:45%20GMT	https://octarine.cc/assets/wasm/shared.wasm	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/wasm/shared.wasm	(from https://octarine.cc/login)
15:51:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:46%20GMT	http://octarine.cc/assets/icons/icon-192x192.png	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/icons/icon-192x192.png	(from https://octarine.cc/login)
15:51:37	16958/16958	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2015%20Apr%202021%2020:51:45%20GMT	https://octarine.cc/favicon.ico	C:/Mis%20lugares%20Web/lol/octarine.cc/favicon.ico	(from https://octarine.cc/login)
15:51:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:47%20GMT	http://octarine.cc/manifest.webmanifest	C:/Mis%20lugares%20Web/lol/octarine.cc/manifest.webmanifest	(from https://octarine.cc/login)
15:51:37	9869/9869	---M--	200	added ('OK')	image/png	etag:assets/icons/icon-192x192.64b7730d9b.png	https://octarine.cc/assets/icons/icon-192x192.png	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/icons/icon-192x192.png	(from https://octarine.cc/login)
15:51:37	1417/1417	---MCZ	200	added ('OK')	application/manifest+json	date:Thu,%2015%20Apr%202021%2020:51:47%20GMT	https://octarine.cc/manifest.webmanifest	C:/Mis%20lugares%20Web/lol/octarine.cc/manifest.webmanifest	(from https://octarine.cc/login)
15:51:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:47%20GMT	http://octarine.cc/styles.3ce9d83fa82a77942f04.css	C:/Mis%20lugares%20Web/lol/octarine.cc/styles.3ce9d83fa82a77942f04.css	(from https://octarine.cc/login)
15:51:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:47%20GMT	http://octarine.cc/15fc2741b0fc554178f54.js	C:/Mis%20lugares%20Web/lol/octarine.cc/15fc2741b0fc554178f54.js	(from https://octarine.cc/login)
15:51:38	85539/85539	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2020:51:47%20GMT	https://octarine.cc/styles.3ce9d83fa82a77942f04.css	C:/Mis%20lugares%20Web/lol/octarine.cc/styles.3ce9d83fa82a77942f04.css	(from https://octarine.cc/login)
15:51:38	2255/2255	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2020:51:48%20GMT	https://octarine.cc/15fc2741b0fc554178f54.js	C:/Mis%20lugares%20Web/lol/octarine.cc/15fc2741b0fc554178f54.js	(from https://octarine.cc/login)
15:51:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:48%20GMT	http://octarine.cc/polyfills-es5.546da1480cb64271bbf9.js	C:/Mis%20lugares%20Web/lol/octarine.cc/polyfills-es5.546da1480cb64271bbf9.js	(from https://octarine.cc/login)
15:51:39	136170/136170	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2020:51:48%20GMT	https://octarine.cc/polyfills-es5.546da1480cb64271bbf9.js	C:/Mis%20lugares%20Web/lol/octarine.cc/polyfills-es5.546da1480cb64271bbf9.js	(from https://octarine.cc/login)
15:51:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:48%20GMT	http://octarine.cc/45fc2741b0fc554178f54.js	C:/Mis%20lugares%20Web/lol/octarine.cc/45fc2741b0fc554178f54.js	(from https://octarine.cc/login)
15:51:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:50%20GMT	http://octarine.cc/0x9.c97f578b41fe62243862.js	C:/Mis%20lugares%20Web/lol/octarine.cc/0x9.c97f578b41fe62243862.js	(from https://octarine.cc/login)
15:51:40	43097/43097	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2020:51:49%20GMT	https://octarine.cc/45fc2741b0fc554178f54.js	C:/Mis%20lugares%20Web/lol/octarine.cc/45fc2741b0fc554178f54.js	(from https://octarine.cc/login)
15:51:40	100665/100665	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2020:51:50%20GMT	https://octarine.cc/0x9.c97f578b41fe62243862.js	C:/Mis%20lugares%20Web/lol/octarine.cc/0x9.c97f578b41fe62243862.js	(from https://octarine.cc/login)
15:51:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Apr%202021%2020:51:50%20GMT	http://octarine.cc/35fc2741b0fc554178f54.js	C:/Mis%20lugares%20Web/lol/octarine.cc/35fc2741b0fc554178f54.js	(from https://octarine.cc/login)
15:51:42	994894/994894	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2020:51:51%20GMT	https://octarine.cc/35fc2741b0fc554178f54.js	C:/Mis%20lugares%20Web/lol/octarine.cc/35fc2741b0fc554178f54.js	(from https://octarine.cc/login)
15:51:42	71900/71900	---M--	200	added ('OK')	image/jpeg	etag:assets/images/arts/phantom_assasin-min.8f8aee8069.jpg	https://octarine.cc/assets/images/arts/phantom_assasin-min.jpg	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/images/arts/phantom_assasin-min.jpg	(from https://octarine.cc/styles.3ce9d83fa82a77942f04.css)
15:51:43	129221/129221	---M--	200	added ('OK')	image/jpeg	etag:assets/images/arts/snapfire_underlord-min.c0961c3d0d.jpg	https://octarine.cc/assets/images/arts/snapfire_underlord-min.jpg	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/images/arts/snapfire_underlord-min.jpg	(from https://octarine.cc/styles.3ce9d83fa82a77942f04.css)
15:51:43	137331/137331	---M--	200	added ('OK')	image/jpeg	etag:assets/images/arts/templar_assasin-min.e535eadf7f.jpg	https://octarine.cc/assets/images/arts/templar_assasin-min.jpg	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/images/arts/templar_assasin-min.jpg	(from https://octarine.cc/styles.3ce9d83fa82a77942f04.css)
15:51:43	85945/85945	---M--	200	added ('OK')	image/jpeg	etag:assets/images/arts/devour-min.511b7793db.jpeg	https://octarine.cc/assets/images/arts/devour-min.jpeg	C:/Mis%20lugares%20Web/lol/octarine.cc/assets/images/arts/devour-min.jpg	(from https://octarine.cc/styles.3ce9d83fa82a77942f04.css)
